Thread ID: 131290
Total: 0.030705

 %self     total     self     wait    child    calls  name
  8.60      0.01     0.00     0.00     0.01       26  Array#each
  7.17      0.00     0.00     0.00     0.00        2  ERB::Compiler::ExplicitScanner#scan
  2.18      0.02     0.00     0.00     0.02        1  ActiveSupport::Testing::Performance::Profiler#run
  1.79      0.00     0.00     0.00     0.00      309  String#to_s
  1.42      0.00     0.00     0.00     0.00      129  Hash#[]
  1.40      0.00     0.00     0.00     0.00        2  Kernel#methods
  1.35      0.00     0.00     0.00     0.00      121  Kernel#===
  1.32      0.00     0.00     0.00     0.00      198  String#==
  1.22      0.00     0.00     0.00     0.00       11  String#gsub
  1.21      0.00     0.00     0.00     0.00       22  StringScanner#scan
  1.20      0.00     0.00     0.00     0.00      102  Regexp#match
  1.04      0.00     0.00     0.00     0.00        2  Array#delete_if
  0.78      0.00     0.00     0.00     0.00       82  Regexp#=~
  0.77      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::RouteSet>#recognize_optimized
  0.65      0.00     0.00     0.00     0.00       10  ERB::Compiler#content_dump
  0.65      0.00     0.00     0.00     0.00        3  Array#map
  0.64      0.00     0.00     0.00     0.00       36  ActiveSupport::CoreExtensions::String::Conversions#ord
  0.61      0.02     0.00     0.00     0.02        1  ActionController::Integration::Session#process
  0.55      0.03     0.00     0.00     0.03       31  Kernel#__send__-1
  0.54      0.00     0.00     0.00     0.00       66  Array#[]
  0.53      0.00     0.00     0.00     0.00        2  <Class::IO>#read
  0.48      0.00     0.00     0.00     0.00        2  ActionView::Base#_unmemoized__pick_template
  0.47      0.01     0.00     0.00     0.01       20  Class#new
  0.46      0.00     0.00     0.00     0.00        9  Hash#each
  0.43      0.00     0.00     0.00     0.00       24  ERB::Compiler::Buffer#push
  0.42      0.00     0.00     0.00     0.00       43  String#sub
  0.42      0.00     0.00     0.00     0.00       53  Hash#default
  0.41      0.00     0.00     0.00     0.00       41  Hash#[]=
  0.41      0.00     0.00     0.00     0.00        4  <Class::File>#file?
